age_of_property,coop_condo,dining_room_type,fuel_type,garage_exists,kitchen_type,maintenance_cost,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,parking_charges,pct_tax_deductibl,sale_price,sq_footage,total_taxes,zip_code,common_charges_numeric_dollars
61,co-op,combo,gas,0,eat in,661,1,1,0,4,0,0,120000,850,NA,11432,0
88,co-op,formal,gas,0,efficiency,941,2,1,0,4,0,49,315000,1050,NA,11415,0
74,co-op,combo,oil,1,eat in,928,2,1,0,5,20,40,238888,800,NA,11357,0
64,co-op,formal,gas,0,efficiency,673,1,1,0,4,70,40,123000,NA,NA,11414,0
69,co-op,combo,oil,0,combo,509,0,1,0,2,0,0,119000,NA,NA,11375,0
64,co-op,combo,oil,0,efficiency,593,1,1,0,4,30,0,124000,NA,NA,11414,0
68,co-op,NA,gas,0,efficiency,622,1,1,0,3,0,0,275000,800,NA,11375,0
69,co-op,combo,oil,0,efficiency,913,2,1,0,4,0,0,380000,NA,NA,11375,0
70,co-op,combo,gas,1,eat in,706,1,1,0,4,85,50,125000,NA,NA,11432,0
89,co-op,formal,gas,0,Combo,523,1,1,0,4,0,0,281000,NA,NA,11377,0
74,co-op,formal,oil,0,efficiency,913,2,1,0,4,0,40,219000,NA,NA,11357,0
74,co-op,formal,gas,0,efficiency,1299,3,1,0,6,0,50,286000,NA,NA,11367,0
64,co-op,combo,gas,0,eat in,783,3,1,0,6,0,0,272000,NA,NA,11421,0
64,co-op,combo,gas,0,efficiency,722,2,1,0,4,0,0,247000,NA,NA,11378,0
33,condo,combo,gas,0,Combo,NA,1,1,0,3,0,0,247000,NA,1830,11368,294
64,co-op,formal,gas,0,eat in,1444,2,2,0,5,26,0,319000,1200,NA,11360,0
87,co-op,formal,gas,0,combo,773,1,1,0,4,0,0,157000,NA,NA,11367,0
69,co-op,combo,gas,0,combo,644,2,1,0,4,0,50,155000,NA,NA,11427,0
80,co-op,NA,gas,0,efficiency,519,0,1,0,1,0,50,150000,500,NA,11375,0
86,co-op,formal,oil,0,efficiency,789,2,1,0,4,0,0,257000,NA,NA,11415,0
32,condo,combo,gas,1,efficiency,NA,2,1,0,4,150,0,332000,NA,1660,11368,261
